[00:00:04–00:00:08] 喂嗨大家晚安大家有聽到聲音嗎
[00:05:26–00:05:28] 就是都是所有的選學
[00:05:28–00:05:31] 斜線按開之後就可以一致專案
[00:05:31–00:05:32] 或者是到個人化
[00:05:32–00:05:35] 那通常一開始在個人化跟專案的時候
[00:05:35–00:05:37] 我們會做一個簡單的調整
[00:05:37–00:05:39] 就是個人化這邊
[00:05:40–00:05:43] 原則上他設定的是你整個大廳
[00:05:43–00:05:45] 哦你整個大廳就是你整個對話式裝
[00:05:45–00:05:46] 你設定的風格
[00:05:46–00:05:48] 你設定的內容他會記得
[00:05:48–00:05:49] 好不過
[00:05:49–00:05:52] 最近哦老實說他的個人化這邊的
[00:05:52–00:05:54] 呃在大廳的這邊的有時候沒辦法
[00:05:54–00:05:56] 有時候進入的沒那麼快
[00:05:56–00:05:58] 所以通常我們在設計的時候
[00:05:58–00:05:59] 會給他一些ID的
[00:06:00–00:06:01] 來我們來實作吧
[00:06:01–00:06:03] 一開始哦我會先告訴他
[00:06:04–00:06:06] 寫出專家角色指令
[00:06:09–00:06:12] 透過這個符號的方式讓他做一個定位
[00:06:12–00:06:15] 那我們今天放的例子
[00:06:15–00:06:19] 我們就來做這個台風預測專家吧
[00:06:19–00:06:22] 剛好下禮拜可能會有一個台風往台灣而來嘛
[00:06:24–00:06:26] 那我會再給多給他一些
[00:06:26–00:06:28] 背景哦台灣的脈絡
[00:06:29–00:06:31] 好那這個是
[00:06:32–00:06:33] 來來來
[00:06:34–00:06:35] 看到沒有
[00:06:38–00:06:38] 不不不
[00:06:39–00:06:40] 好這時候就把它送出了
[00:06:41–00:06:45] 好他就根據你的相關的內容去寫出這個
[00:06:45–00:06:47] 那這裡啊他
[00:06:47–00:06:49] 他發生什麼事哦他在寫這段的時候
[00:06:49–00:06:52] 我給大家如果大家想跟著做的話
[00:06:53–00:06:53] 呃通常
[00:06:54–00:06:57] 你可以開兩個兩個畫面貼也蠻快的
[00:06:57–00:06:59] 好來貼完之後呢
[00:06:59–00:07:00] 他會有一份這個資料
[00:07:00–00:07:04] 這個功能他把原本的canvas整合在裡面的
[00:07:04–00:07:05] 所以你看到他顏色不一樣對不對
[00:07:06–00:07:08] 好原本是黑的變成這個灰的
[00:07:08–00:07:09] 然後他可以做什麼事
[00:07:09–00:07:10] 假設啊
[00:07:10–00:07:13] 我除了台灣的脈絡之外
[00:07:13–00:07:14] 我要讓他也可以畫圖
[00:07:15–00:07:16] 那等他寫完之後
[00:07:16–00:07:18] 我會嘗試的想他叫他畫圖
[00:07:18–00:07:18] 那怎麼畫
[00:07:19–00:07:20] 假設我在這邊我覺得哎
[00:07:20–00:07:22] 好像可以這邊角色定位再補一點好了
[00:07:22–00:07:23] 這裡任務
[00:07:24–00:07:24] 就把它圈起來
[00:07:24–00:07:26] 拿這邊要求變更有沒有
[00:07:26–00:07:27] 好你的這邊跟他說
[00:07:27–00:07:29] 加入可以繪製
[00:07:32–00:07:33] 他去
[00:07:33–00:07:34] 圖
[00:07:36–00:07:38] 相關的功能好
[00:07:38–00:07:40] 這時候他就會其他都不改
[00:07:40–00:07:41] 就改這一段
[00:07:41–00:07:42] 那這個
[00:07:43–00:07:45] 好像可以他多了這個等壓線啊
[00:07:45–00:07:46] 工廠啊降雨啊好 ok
[00:07:46–00:07:47] 就可以加入
[00:07:47–00:07:50] 你又不用重新再跑一次 ok 嗎
[00:07:50–00:07:52] 好那這個東西他可以下載
[00:07:52–00:07:55] 來下載他現在給我們 pdf 這樣
[00:07:55–00:07:55] 跟
[00:07:56–00:07:59] 所謂的docx 這樣來下載
[00:08:00–00:08:00] 好
[00:08:03–00:08:04] 等他一下吧
[00:08:08–00:08:11] 好那他編做的時候我就做別的事了
[00:08:11–00:08:13] 比如說我現在想要讓他
[00:08:13–00:08:15] 直接寫出來的是 md 檔
[00:08:15–00:08:18] 你就在這邊告訴他請給我 md 檔
[00:08:18–00:08:20] 那我主要是要讓大家感受一下
[00:08:20–00:08:22] 他的那個格式的容量的大小
[00:08:22–00:08:24] 這是 pdf 檔
[00:08:24–00:08:25] 然後呢等一下我的
[00:08:26–00:08:27] md 檔應該都會出來了
[00:08:27–00:08:27] 來
[00:08:29–00:08:30] 好大家有發現我很少在滑
[00:08:30–00:08:31] 旁邊的那個卷軸嗎
[00:08:31–00:08:33] 因為滑其實還蠻浪費生命的哦
[00:08:33–00:08:34] 有時候
[00:08:34–00:08:36] 滑一滑你不一定還找得到
[00:08:36–00:08:37] 所以我都通常會用這個方式
[00:08:37–00:08:38] 就一又二分之一
[00:08:38–00:08:40] 二分之一的重複
[00:08:40–00:08:42] 重複的指令我會用這種方式
[00:08:42–00:08:46] 用左右很矮的方式來節省
[00:08:46–00:08:48] 使用的時間哦
[00:08:48–00:08:49] 好 ok 那這個他寫
[00:08:49–00:08:50] 等他寫完吧
[00:08:50–00:08:52] 他另外一個寫完我才能做下載的動作
[00:08:53–00:08:54] 好他現在在寫 md 檔
[00:08:55–00:08:57] 好那寫完之後呢
[00:08:57–00:08:58] 我就會打開我的 qbgt
[00:09:00–00:09:01] 他做什麼事呢做訓練
[00:09:01–00:09:03] 那我通常現在都不會放在大廳了
[00:09:03–00:09:06] 我會比較常開一個專案的功能
[00:09:07–00:09:09] 然後讓這個專案裡面去做運作
[00:09:09–00:09:10] 那包含
[00:09:10–00:09:13] 我們裡面可以給他一點點簡單的工作
[00:09:13–00:09:14] 哦什麼意思呢
[00:09:14–00:09:17] 來比如說這個颱風專家
[00:09:18–00:09:20] 好這時候他就開始建立專案了
[00:09:21–00:09:22] 好他已經寫完了
[00:09:22–00:09:23] 來我們來看一下哦
[00:09:23–00:09:24] 一個是 pdf 檔
[00:09:24–00:09:25] 一個是 md 檔
[00:09:25–00:09:26] 那通常
[00:09:27–00:09:29] 正常的 pdf 檔都會
[00:09:29–00:09:32] 比握著檔再容量再小一點哦
[00:09:32–00:09:35] 那你可能說老師我現在還沒幾個檔案
[00:09:35–00:09:36] 有有有什麼這樣哦
[00:09:36–00:09:38] 當你檔案一多的時候你只要做好這個
[00:09:38–00:09:41] 好來這個 md 檔 9.1 kb
[00:09:42–00:09:43] 寫的內容
[00:09:43–00:09:46] 應該跟剛剛的這個檔差不多
[00:09:46–00:09:47] 應該不會差太多
[00:09:47–00:09:49] 跟這個自己
[00:09:50–00:09:51] 一個是9.1 kb
[00:09:51–00:09:52] 一個是390 kb
[00:09:52–00:09:54] 老師你怎麼在意這個小的哦
[00:09:54–00:09:56] 當你檔案一多的時候你就會感受到
[00:09:56–00:09:58] 好那這個是第一個哦
[00:09:58–00:10:00] 就是轉 md 檔這件事情其實不難
[00:10:00–00:10:01] 他是一個非常非常簡單的
[00:10:01–00:10:03] 你請你來幫你轉就好
[00:10:03–00:10:05] 好那我們半年人設哦
[00:10:05–00:10:06] 通常打開這一個
[00:10:06–00:10:07] 專案功能的時候
[00:10:07–00:10:09] 第一件事情我一定會做的
[00:10:09–00:10:10] 我不會直接問他
[00:10:11–00:10:12] 我一定會打開
[00:10:12–00:10:13] 專案設定
[00:10:14–00:10:16] 先把東西丟給他學習吧
[00:10:16–00:10:18] 哦那最好的學習方式
[00:10:18–00:10:19] 因為他其實檔案也不大
[00:10:19–00:10:20] 哦我們就按開啟檔案
[00:10:20–00:10:21] 其實你就用
[00:10:22–00:10:23] 這個計師本打開就好了
[00:10:23–00:10:25] 好來講說 a 講說 c
[00:10:26–00:10:26] 以上
[00:10:26–00:10:28] 那這邊現在以前啊
[00:10:28–00:10:31] 以前可以到一萬五現在只有八千
[00:10:31–00:10:33] 哦你超過他一樣會亮紅字
[00:10:33–00:10:34] 哦會亮紅框
[00:10:34–00:10:35] ok 按儲存
[00:10:36–00:10:36] 好
[00:10:37–00:10:39] 通常這裡會遇到一個問題
[00:10:39–00:10:42] 好就是很多人都說很很高興
[00:10:42–00:10:43] 用了就開始問哦
[00:10:43–00:10:46] 你一定要問他你是誰跟
[00:10:46–00:10:47] 你有什麼樣的技能哦
[00:10:47–00:10:48] 所以我會這樣問他
[00:10:48–00:10:49] 你是誰
[00:10:50–00:10:52] 你有什麼樣的
[00:10:52–00:10:53] 功能哦
[00:10:54–00:10:55] 這個意思是代表什麼意思
[00:10:55–00:10:58] 代表他有沒有進入這個
[00:10:58–00:10:58] 人設
[00:10:59–00:11:01] 代表他們進入這個角色哦
[00:11:01–00:11:03] 從這個裡面可以看得出來啊他說
[00:11:03–00:11:05] 他現在是 gbt 5.5 的
[00:11:05–00:11:06] sinking 功能在這個專案裡面
[00:11:06–00:11:07] 扮演這個
[00:11:07–00:11:09] 台風預測專家的角色
[00:11:09–00:11:12] 他在做什麼做這些相關預測的內容
[00:11:12–00:11:13] ok 好
[00:11:13–00:11:15] 那這個是他已經進入人設了
[00:11:15–00:11:17] 好那這是第一點
[00:11:17–00:11:19] 第二點我想要強調的是
[00:11:20–00:11:21] 資料來源這邊
[00:11:21–00:11:25] 您可以在這邊給他一些一些背景資料
[00:11:25–00:11:27] 讓他在回復的時候能夠畫的更好
[00:11:27–00:11:28] 好比如說
[00:11:29–00:11:29] 比如
[00:11:30–00:11:32] 哎我們來這邊抓個資料吧
[00:11:32–00:11:33] 好
[00:11:35–00:11:36] 海風
[00:11:38–00:11:39] 風鴨
[00:11:40–00:11:41] 這個大氣
[00:11:45–00:11:46] 臺灣像
[00:11:46–00:11:49] 臺風生命棍的
[00:11:50–00:11:51] 圖
[00:11:52–00:12:00] 這個好比如說我就問他這個案例
[00:12:00–00:12:02] 就是臺風相關的圖有哪些好
[00:12:02–00:12:03] 那就開始去找
[00:12:03–00:12:04] 好吧他現在
[00:12:05–00:12:06] 直接幫我申請
[00:12:06–00:12:07] 請他上網找比較快
[00:12:08–00:12:20] 好這時候就讓他找一下吧
[00:12:20–00:12:23] 就這個概念就是我要讓他
[00:12:23–00:12:24] 變成他的一個
[00:12:25–00:12:26] 背景資料好
[00:12:26–00:12:28] 那這個地方我們常常稱為叫做
[00:12:28–00:12:29] Rig
[00:12:29–00:12:30] 就是希望他有一些背景資料
[00:12:30–00:12:31] 的時候來畫
[00:12:32–00:12:34] 那工作流我們先來設定一下吧
[00:12:34–00:12:36] 我通常會讓設定如果你的工作流
[00:12:36–00:12:38] 很強調這件事情的時候
[00:12:38–00:12:40] 你可以有在最下面這裡
[00:12:40–00:12:42] 然後給他說
[00:12:43–00:12:46] 回應時請先
[00:12:46–00:12:46] 用
[00:12:47–00:12:49] 文字來做論述
[00:12:51–00:12:51] 並且
[00:12:55–00:12:55] 用
[00:12:56–00:12:57] image 2.0
[00:12:59–00:13:00] image
[00:13:03–00:13:04] 2.0
[00:13:04–00:13:06] 生成一張圖
[00:13:08–00:13:09] 來
[00:13:10–00:13:11] 佐證
[00:13:12–00:13:13] 上述的
[00:13:14–00:13:15] 文字
[00:13:15–00:13:16] 論述
[00:13:17–00:13:19] 他可以做一個簡單的工作流啦
[00:13:19–00:13:21] 好比如說我想要生成這種圖文圖文
[00:13:21–00:13:24] 冰帽的方式好你就用這個方式
[00:13:24–00:13:25] 把它加到你的指令裡面
[00:13:25–00:13:27] 讓他變成他的工作流
[00:13:27–00:13:28] 好然後呢
[00:13:29–00:13:29] 圖畫了
[00:13:30–00:13:30] 好了假設
[00:13:31–00:13:34] 這些圖都是我想要讓他拿去做學習
[00:13:34–00:13:34] 好
[00:13:34–00:13:35] 就是
[00:13:36–00:13:38] 來這邊可以放一些內容
[00:13:38–00:13:39] 裡面
[00:13:39–00:13:43] 那因為如果要放資料就只能上傳
[00:13:46–00:13:47] 我們直接從雲端放
[00:13:50–00:13:51] 好你可以在雲端放了
[00:13:51–00:13:53] 那你也可以我就不登了
[00:13:54–00:13:57] 你也可以直接為資料給他讓他去做學習
[00:13:57–00:13:59] 好那通常會遇到一個問題是
[00:14:00–00:14:01] 是那圖片他可不可以切
[00:14:02–00:14:03] 基本上他圖片
[00:14:03–00:14:04] 切的狀況會
[00:14:04–00:14:05] 不是那麼好
[00:14:05–00:14:07] 所以通常在
[00:14:07–00:14:08] 使用圖片的時候
[00:14:08–00:14:10] 我就會直接餵啦
[00:14:10–00:14:12] 讓他讓他學這個還好
[00:14:12–00:14:13] 對吧這些
[00:14:14–00:14:16] 天氣的雲圖抓一抓給他吧
[00:14:16–00:14:18] 好就跟他說我等下可能需要
[00:14:18–00:14:19] 常常有需要這種
[00:14:19–00:14:20] 是這些圖
[00:14:28–00:14:29] 順便補充
[00:14:29–00:14:31] 像像我現在在做的事情
[00:14:31–00:14:32] 全部都叫做一問一答
[00:14:32–00:14:33] 就是跟
[00:14:33–00:14:34] ai在對話的時候
[00:14:34–00:14:36] 哎呦他說啊貼啦
[00:14:36–00:14:38] 然後啊聲啊
[00:14:38–00:14:39] 這是叫一問一答嘛
[00:14:39–00:14:40] 等一下到Agent這件事情
[00:14:40–00:14:42] 就讓他一口氣做一做
[00:14:42–00:14:43] 比如說
[00:14:43–00:14:46] 像現在所有的大型圓模型
[00:14:46–00:14:46] 都有這樣的功能
[00:14:46–00:14:48] 我剛剛差點忘了
[00:14:48–00:14:48] 來
[00:14:48–00:14:50] 像這四張圖如果你覺得不錯
[00:14:50–00:14:51] 你跟他說
[00:14:53–00:14:54] 緊張上述
[00:14:59–00:15:01] 所提到的四張模型
[00:15:01–00:15:03] 直接下載doc x 檔給我
[00:15:04–00:15:05] 這個方式
[00:15:05–00:15:05] 現在現在
[00:15:06–00:15:08] 啊其實如果你不想要這邊切來切去
[00:15:08–00:15:09] 覺得很很繁瑣的話
[00:15:09–00:15:10] 你就下這個指令
[00:15:10–00:15:12] 他就會直接給你這個
[00:15:12–00:15:13] 呃doc x 檔
[00:15:13–00:15:14] 那就可以拿來做訓練
[00:15:15–00:15:15] 好
[00:15:16–00:15:16] 這個是
[00:15:17–00:15:18] 一方面告訴大家
[00:15:18–00:15:20] 現在基本上大部分的ai工具
[00:15:20–00:15:21] 大型的模型
[00:15:21–00:15:22] 你叫他輸出
[00:15:22–00:15:24] 這個文字的檔
[00:15:24–00:15:26] 哦就是類似這種文書處理的檔案
[00:15:26–00:15:27] ppt啦
[00:15:27–00:15:28] ex 呃這個
[00:15:29–00:15:31] xlx啊csv檔啊
[00:15:31–00:15:33] 然後等等的這些常看到的
[00:15:33–00:15:35] 文書類型的檔案都可以
[00:15:35–00:15:36] 好啦
[00:15:36–00:15:37] 等他寫吧
[00:15:37–00:15:38] 他就是會寫一個
[00:15:39–00:15:40] 簡單的pyson
[00:15:40–00:15:42] 然後就丟些個帳就給你哦
[00:15:43–00:15:43] 好
[00:15:43–00:15:46] 那這時候如果他有這樣的功能
[00:15:46–00:15:47] 他有這樣的來源的時候
[00:15:47–00:15:50] 他每次就會去學習這樣的圖
[00:15:50–00:15:50] 型來給我
[00:15:53–00:15:54] 那我們就不等了
[00:16:02–00:16:03] 好我就放桌面
[00:16:04–00:16:06] 好這時候他抓完了哦來
[00:16:07–00:16:08] 你就把它上傳
[00:16:10–00:16:11] 桌面
[00:16:12–00:16:14] 好那這個就是我的檔案名證
[00:16:14–00:16:16] 那通常有時候我會把他命名一下
[00:16:16–00:16:17] 避免忘記以後
[00:16:17–00:16:20] 你想不起來這是什麼叫做doc x檔
[00:16:20–00:16:20] 好了
[00:16:20–00:16:22] 那這時候再來要做什麼事呢
[00:16:22–00:16:25] 再來我們就來做相關的功能
[00:16:25–00:16:26] 來第一個功能是
[00:16:27–00:16:28] 幫我寫好
[00:16:28–00:16:30] 他現在已經有這樣的人設哦
[00:16:30–00:16:30] 你來說
[00:16:31–00:16:32] 寫出
[00:16:33–00:16:34] 7月
[00:16:34–00:16:36] 10號7月
[00:16:37–00:16:40] 7號到7月11號
[00:16:41–00:16:43] 最新的語冊
[00:16:44–00:16:45] 並且
[00:16:47–00:16:48] 好就這樣就好了
[00:16:50–00:16:52] 好我沒有要求他要去看哪張圖
[00:16:52–00:16:53] 但是我要求他的是
[00:16:53–00:16:56] 他寫完論述之後要開啟 image
[00:16:56–00:16:59] 2 image 2.0之後就幫我做圖
[00:16:59–00:17:00] 這是可以做的工作的
[00:17:00–00:17:01] 就讓他跑一下吧
[00:17:02–00:17:04] 好啊通常有時候這個網頁啊
[00:17:04–00:17:05] 有沒有你覺得哇
[00:17:05–00:17:06] 他怎麼那麼久你按下重新整理
[00:17:06–00:17:07] 他有時候是做完的
[00:17:07–00:17:08] 但是
[00:17:08–00:17:10] 網頁因為那個呼應的關係
[00:17:10–00:17:12] 他放掉了哦
[00:17:15–00:17:15] ok
[00:17:16–00:17:18] 好來看他有沒有進入我的狀況
[00:17:18–00:17:22] 我告訴他要先做一個簡單的圖
[00:17:23–00:17:25] 然後呢簡單的文字
[00:17:25–00:17:26] 看起來還沒畫圖
[00:17:27–00:17:29] 看他會不會自動畫圖
[00:17:29–00:17:31] 是可以強調他讓他畫圖的
[00:17:36–00:17:37] 好了他已經這個丟
[00:17:37–00:17:39] 他就慢慢找了哦
[00:17:40–00:17:40] 他還在找
[00:17:40–00:17:41] 好了
[00:17:42–00:17:44] 平凡可能好這些都算基本了
[00:17:44–00:17:46] 他已經進入那個人設
[00:17:46–00:17:47] 所以他再回答你這些文字的品質
[00:17:47–00:17:48] 會好一點哦
[00:17:49–00:17:50] 來圖畫了哦
[00:17:50–00:17:52] 這個是我要求他圖文並茂
[00:17:52–00:17:54] 哦就簡單的小小的工作流
[00:17:54–00:17:56] 就是你可以透過這樣的方式
[00:17:56–00:17:57] 去要求他哦
[00:17:57–00:17:59] 那當然你可以要求更細哦
[00:17:59–00:18:01] 我的圖要四種圖
[00:18:01–00:18:04] 要封壓圖要大氣圖要什麼圖
[00:18:04–00:18:05] 要降雨機律圖等等的
[00:18:05–00:18:07] 變成四格都可以哦
[00:18:07–00:18:10] 所以這邊可以讓大家再去更強調
[00:18:10–00:18:11] 他的使用哦
[00:18:11–00:18:13] ok這個讓大家知道一下好就是
[00:18:14–00:18:16] 專案工人現在算是一個選選學了
[00:18:16–00:18:17] 然後就是呃
[00:18:18–00:18:20] 其中一個很重要的觀念是
[00:18:20–00:18:21] 在使用的時候
[00:18:22–00:18:24] 大家特別會忘記這裡
[00:18:24–00:18:25] 新增資料來源哦
[00:18:25–00:18:27] 你會很開心放非常非常的多哦
[00:18:27–00:18:29] 其實他的
[00:18:30–00:18:31] 算力是有限的
[00:18:31–00:18:33] 所以我會建議大家幫我轉成
[00:18:33–00:18:35] md檔再給他會好一點點
[00:18:35–00:18:37] 當你的資料一多的時候
[00:18:37–00:18:39] 給他讀md檔的效果
[00:18:39–00:18:41] 會好非常多
[00:18:41–00:18:42] ok
[00:18:44–00:18:45] 看一下結果吧
[00:18:45–00:18:46] 結果我們就往下走了哦
[00:18:48–00:18:49] 那這邊有沒有什麼問題
[00:18:49–00:18:51] 好帶他回去可以
[00:18:51–00:18:52] 稍微運用一下哦
[00:18:52–00:18:53] 來吧這是他畫的
[00:18:54–00:18:57] 就是根據上述的內容
[00:18:57–00:18:58] 他把他畫出來
[00:18:58–00:19:00] 那他自原的去抓資料
[00:19:00–00:19:01] 哦就讓大家
[00:19:01–00:19:03] 呃自行看我通常會檢查一下
[00:19:03–00:19:06] 他檢查的方式你可以下這個
[00:19:06–00:19:07] 網頁搜尋
[00:19:09–00:19:09] 複查
[00:19:12–00:19:14] 上述的資訊
[00:19:14–00:19:16] 好啊當然複查
[00:19:16–00:19:18] 你要給他給我一個
[00:19:18–00:19:24] 我一個 check list 的表
[00:19:27–00:19:27] ok
[00:19:28–00:19:28] 好
[00:19:29–00:19:31] 你既然他叫他複查了
[00:19:31–00:19:32] 你直接叫他給你一個表吧
[00:19:32–00:19:34] 你按照那個表來對會更方便啊
[00:19:34–00:19:36] 所以有時候資訊的反查
[00:19:36–00:19:37] 我用這個方式
[00:19:37–00:19:38] 有時候他啊
[00:19:38–00:19:39] 我沒有開網頁搜尋之前
[00:19:39–00:19:42] 我會讓他先發揮去做那做完之後
[00:19:43–00:19:45] 他這邊雖然說他有告訴我資料來源
[00:19:46–00:19:47] 不過我還是會請他幫我做
[00:19:47–00:19:48] 複查的動作
[00:19:48–00:19:50] 然後給他給你一個 check list
[00:19:51–00:19:55] 好現在這個動作同樣可以在
[00:19:56–00:19:59] 如果大家是習慣使用這個就能來的人
[00:19:59–00:20:01] 同樣可以在就能來裡面去做使用
[00:20:02–00:20:04] 同樣可以在就能來裡面去做使用
[00:20:04–00:20:04] 可以嗎
[00:20:04–00:20:06] 好這是同樣的就是
[00:20:06–00:20:07] 呃我有說過哦
[00:20:07–00:20:10] 你只要學學完一套大概就知道他
